id,response,time,correct_bool
1,48.9,7.2520136,TRUE
2,April,8.0049176,TRUE
3,$37.75 - $63.40,12.5692943,TRUE
4,rising,7.6824876,TRUE
5,$23.55 ,6.3468978,TRUE
6,17 Mbps,8.0289106,TRUE
7,South Korea,7.6751191,FALSE
8,3 - 20 Mbps,6.8753911,TRUE
9,10,7.5691327,TRUE
10,5,7.5125697,TRUE
11,1 to 4,9.5678738,TRUE
12,San Francisco,8.0144232,TRUE
13,$0 - $24,5.9227154,FALSE
14,FALSE,8.5675047,TRUE
15,TRUE,8.7282825,TRUE
16,75%,4.8894407,TRUE
17,23,4.4469558,FALSE
18,TRUE,5.923233,TRUE
19,32%,4.9312023,TRUE
20,Others,5.274155,TRUE
21,TRUE,4.5833313,TRUE
22,310,7.2901256,TRUE
23,4.2-4.4,6.6334449,TRUE
24,TRUE,8.4303118,TRUE
25,FALSE,6.8728222,TRUE
26,Cannot be inferred,5.5253792,TRUE
27,70.5 kg,14.1327806,TRUE
28,197.1 cm,24.8590672,TRUE
29,53.9 - 116.3 kg,24.9453731,TRUE
30,TRUE,23.3679085,TRUE
31,TRUE,19.3434799,TRUE
32,TRUE,28.2427892,FALSE
33,FALSE,24.6880996,TRUE
34,FALSE,16.9614354,TRUE
35,5.5,9.8127258,TRUE
36,Feb-14,11.9820036,TRUE
37,$4.6 - $6.1,10.5485903,TRUE
38,rising then falling,11.6033993,TRUE
39,12 months,11.3687108,TRUE
40,9000,7.8487437,FALSE
41,1 to 1,9.2193811,TRUE
42,2014,6.0373872,TRUE
43,"4,500 - 5,200",8.3147371,FALSE
44,rising,5.3862067,TRUE
45,TRUE,6.4689225,TRUE
46,TRUE,7.1821622,TRUE
47,330 km,7.2349806,TRUE
48,F,8.8719685,TRUE
49,190 - 540 km,10.4659458,TRUE
50,FALSE,9.992243,TRUE
51,G,7.2333903,TRUE
52,FALSE,12.6089744,TRUE
53,FALSE,10.5574407,TRUE
54,TRUE,7.9791877,TRUE
55,4.6 - 5.7,11.1092337,FALSE
56,AK,4.3352894,TRUE
57,FALSE,3.8245093,TRUE
58,20%,12.1331595,FALSE
59,Facebook,10.2028823,FALSE
60,TRUE,4.3049984,TRUE
61,TRUE,10.9102201,TRUE
