id,response,time,correct_bool
1,$48.90 ,1.297415,TRUE
2,April,1.0608156,TRUE
3,$37.75 - $63.40,1.1838661,TRUE
4,rising,0.9100428,TRUE
5,23.55,1.1335285,TRUE
6,17 Mbps,0.9212581,TRUE
7,South Korea,0.9814603,FALSE
8,3 - 20 Mbps,0.9324048,TRUE
9,6 countries,0.9249371,FALSE
10,$5 ,1.0051972,TRUE
11,1 to 4,1.0961163,TRUE
12,San Francisco,0.9248136,TRUE
13,$5 - $16,0.9715778,TRUE
14,FALSE,1.1972224,TRUE
15,TRUE,1.0111302,TRUE
16,75%,0.9077312,TRUE
17,Postgraduate Study,0.9630612,TRUE
18,FALSE,0.8583648,FALSE
19,32%,0.8571961,TRUE
20,Others,0.929867,TRUE
21,TRUE,0.8393353,TRUE
22,310,0.9520366,TRUE
23,4.2-4.4,1.128008,TRUE
24,FALSE,4.4737747,FALSE
25,FALSE,0.9610276,TRUE
26,Cannot be inferred,6.3116913,TRUE
27,70.5 kg,1.0526035,TRUE
28,197.1 cm,0.9693695,TRUE
29,53.9 - 116.3 kg,1.1683189,TRUE
30,TRUE,0.9153902,TRUE
31,TRUE,0.8478407,TRUE
32,TRUE,0.9724121,FALSE
33,FALSE,0.922831,TRUE
34,FALSE,3.7747288,TRUE
35,$5.50 ,1.1465257,TRUE
36,Feb-14,49.5743594,TRUE
37,$4.6 - $6.1,1.0385926,TRUE
38,rising then falling,1.1291116,TRUE
39,9 months,0.9655947,FALSE
40,3800,0.9613905,FALSE
41,1 to 1,1.0516769,TRUE
42,2014,3.6238864,TRUE
43,"500 - 4,700",8.549084,FALSE
44,rising,0.9306504,TRUE
45,TRUE,103.9999935,TRUE
46,TRUE,0.9427801,TRUE
47,330 km,1.1089796,TRUE
48,F,1.0644476,TRUE
49,150 - 600 km,1.075762,FALSE
50,FALSE,1.1468893,TRUE
51,G,22.9681541,TRUE
52,TRUE,0.9564084,FALSE
53,TRUE,77.1201943,FALSE
54,TRUE,1.205062,TRUE
55,4.6% - 5.7%,1.0513948,FALSE
56,Alaska (AK),0.9912013,TRUE
57,TRUE,0.9997494,FALSE
58,20%,0.9458095,FALSE
59,Google,0.9477949,TRUE
60,TRUE,1.9640558,TRUE
61,TRUE,0.9585326,TRUE
