id,response,time,correct_bool
1,$48.90 ,9.1127344,TRUE
2,April,8.1993545,TRUE
3,$37.75 - $63.40,11.15785,TRUE
4,rising,8.9483473,TRUE
5,$23.55 ,9.6753647,TRUE
6,17 Mbps,9.515645,TRUE
7,South Korea,11.4528436,FALSE
8,3 - 20 Mbps,10.7191901,TRUE
9,2 countries,13.4472147,FALSE
10,$5 ,14.9374562,TRUE
11,1 to 4,19.9455491,TRUE
12,San Francisco,16.8485853,TRUE
13,$5 - $16,16.2538226,TRUE
14,FALSE,19.1607408,TRUE
15,TRUE,16.6794854,TRUE
16,75%,11.9645343,TRUE
17,Postgraduate Study,7.8884525,TRUE
18,TRUE,9.1650756,TRUE
19,32%,7.147757,TRUE
20,Others,8.3530099,TRUE
21,TRUE,6.9297766,TRUE
22,310,16.7325893,TRUE
23,4.2-4.4,11.6846187,TRUE
24,TRUE,13.4623167,TRUE
25,FALSE,12.1826977,TRUE
26,Cannot be inferred,14.6728767,TRUE
27,70.5 kg,16.3289385,TRUE
28,197.1 cm,21.4707681,TRUE
29,53.9 - 116.3 kg,9.7777901,TRUE
30,TRUE,24.5089075,TRUE
31,TRUE,24.2742746,TRUE
32,FALSE,18.6322677,TRUE
33,FALSE,20.5797295,TRUE
34,FALSE,20.3139837,TRUE
35,$5.50 ,14.755778,TRUE
36,14-Feb,14.9002196,TRUE
37,$4.6 - $6.1,15.1505943,TRUE
38,rising then falling,17.2985932,TRUE
39,12 months,19.6023465,TRUE
40,10100,9.5458838,TRUE
41,1 to 1,13.6296557,TRUE
42,2014,10.4869881,TRUE
43,"2,100 - 5,200",16.3837491,TRUE
44,rising,10.8567269,TRUE
45,TRUE,9.5015315,TRUE
46,TRUE,11.9845625,TRUE
47,330 km,13.281426,TRUE
48,F,11.9555835,TRUE
49,190 - 540 km,13.7068482,TRUE
50,FALSE,14.9411282,TRUE
51,G,16.5110619,TRUE
52,FALSE,14.3956316,TRUE
53,FALSE,16.290751,TRUE
54,TRUE,12.489492,TRUE
55,1.1% - 2.3%,25.9559498,TRUE
56,Alaska (AK),33.8837787,TRUE
57,FALSE,27.255286,TRUE
58,30%,15.7530263,FALSE
59,Google,6.1520995,TRUE
60,TRUE,11.5650334,TRUE
61,TRUE,10.2604373,TRUE
