id,response,time,correct_bool
1,$48.90 ,3.6535298,TRUE
2,April,2.6940937,TRUE
3,$37.75 - $63.40,3.6365487,TRUE
4,rising,3.5615144,TRUE
5,$23.55 ,2.9692445,TRUE
6,17 Mbps,3.0365742,TRUE
7,Sri Lanka,2.6552058,TRUE
8,0 - 25 Mbps,3.3015561,FALSE
9,4 countries,2.6887937,FALSE
10,$5 ,3.1022615,TRUE
11,1 to 4,3.0859998,TRUE
12,Atlanta,2.5796779,FALSE
13,$5 - $16,2.9910919,TRUE
14,FALSE,2.2126118,TRUE
15,FALSE,5.5966908,FALSE
16,53%,2.9450923,FALSE
17,High School Graduate or Less,3.937462,FALSE
18,FALSE,2.6854542,FALSE
19,32%,2.8156691,TRUE
20,Lenovo,2.5702632,FALSE
21,TRUE,2.4869015,TRUE
22,310,5.4906863,TRUE
23,4.2-4.4,3.8020827,TRUE
24,FALSE,3.5160626,FALSE
25,FALSE,3.419667,TRUE
26,Cannot be inferred,3.5777909,TRUE
27,58.2 kg,3.1878631,FALSE
28,197.1 cm,2.911279,TRUE
29,53.9 - 123.6 kg,3.826621,FALSE
30,TRUE,2.5526576,TRUE
31,TRUE,2.4706113,TRUE
32,TRUE,2.6293277,FALSE
33,FALSE,2.8142028,TRUE
34,FALSE,2.2873139,TRUE
35,$5.10 ,2.7995878,FALSE
36,Dec-14,2.9611875,TRUE
37,$4.6 - $6.1,3.3427288,TRUE
38,falling,2.7858345,FALSE
39,5 months,2.8502049,FALSE
40,3800,3.3324193,FALSE
41,1 to 1,3.0826165,TRUE
42,2014,3.1467464,TRUE
43,"2,100 - 5,200",3.9615847,TRUE
44,rising,3.1012004,TRUE
45,TRUE,3.3757434,TRUE
46,TRUE,3.1813266,TRUE
47,530 km,3.2378474,FALSE
48,F,3.2780845,TRUE
49,150 - 600 km,5.4903457,FALSE
50,FALSE,3.4027069,TRUE
51,G,3.5718953,TRUE
52,TRUE,3.3177777,FALSE
53,TRUE,2.9723126,FALSE
54,TRUE,3.5611571,TRUE
55,3.4% - 4.6%,4.7390527,FALSE
56,AK,3.6804864,TRUE
57,FALSE,3.2314788,TRUE
58,20%,3.7210738,FALSE
59,Google,3.1552178,TRUE
60,TRUE,3.7334047,TRUE
61,TRUE,3.0311782,TRUE
