id,response,time,correct_bool
1,$48.90 ,3.1405477,TRUE
2,April,2.6767089,TRUE
3,$37.75 - $63.40,2.451283,TRUE
4,rising,3.5777396,TRUE
5,$23.55 ,2.540295,TRUE
6,17 Mbps,2.7774339,TRUE
7,South Korea,2.0910044,FALSE
8,3 - 20 Mbps,2.5845532,TRUE
9,2 countries,3.5356516,FALSE
10,$5 ,3.1747886,TRUE
11,1 to 4,3.5344647,TRUE
12,San Francisco,1.9321641,TRUE
13,$5 - $16,3.6519202,TRUE
14,FALSE,3.5343136,TRUE
15,FALSE,3.2470213,FALSE
16,75%,2.0674775,TRUE
17,Postgraduate Study,2.567796,TRUE
18,TRUE,3.7970728,TRUE
19,32%,1.7877248,TRUE
20,Others,2.6662702,TRUE
21,TRUE,2.1438008,TRUE
22,250,3.9532777,FALSE
23,4.4-4.6,2.4718644,FALSE
24,TRUE,2.6493523,TRUE
25,FALSE,3.6140899,TRUE
26,Cannot be inferred,3.0124899,TRUE
27,70.5 kg,3.3984281,TRUE
28,197.1 cm,2.0277807,TRUE
29,53.9 - 116.3 kg,3.3567001,TRUE
30,TRUE,3.209028,TRUE
31,TRUE,5.3386116,TRUE
32,FALSE,4.6917946,TRUE
33,FALSE,2.7138207,TRUE
34,FALSE,2.9364324,TRUE
35,$5.10 ,2.713414,FALSE
36,Feb-14,2.2785709,TRUE
37,$4.6 - $6.1,2.6128785,TRUE
38,rising then falling,3.7856362,TRUE
39,9 months,4.6942178,FALSE
40,10100,3.8259868,TRUE
41,1 to 1,3.6448944,TRUE
42,2014,2.3350023,TRUE
43,"2,100 - 5,200",4.8309062,TRUE
44,rising,2.7442253,TRUE
45,TRUE,3.3236767,TRUE
46,FALSE,3.0046787,FALSE
47,330 km,2.0035208,TRUE
48,F,2.8386663,TRUE
49,190 - 540 km,2.4072369,TRUE
50,FALSE,3.0038226,TRUE
51,G,4.93249,TRUE
52,FALSE,4.7085778,TRUE
53,FALSE,4.1163302,TRUE
54,TRUE,6.0736255,TRUE
55,1.1% - 2.3%,9.1452841,TRUE
56,Alaska (AK),7.4037655,TRUE
57,FALSE,3.0979243,TRUE
58,30%,2.9532042,FALSE
59,Google,3.1127752,TRUE
60,FALSE,3.2136846,FALSE
61,TRUE,2.9551371,TRUE
