id,response,time,correct_bool
1,$48.90 ,1.8807894,TRUE
2,April,2.3211235,TRUE
3,$37.75 - $63.40,2.2247556,TRUE
4,rising,2.797907,TRUE
5,$23.55 ,2.5442211,TRUE
6,17 Mbps,1.8489292,TRUE
7,South Korea,1.9419743,FALSE
8,3 - 20 Mbps,2.5005832,TRUE
9,2 countries,5.0324949,FALSE
10,$5 ,2.9088621,TRUE
11,8 to 25,2.8723694,FALSE
12,San Francisco,1.814038,TRUE
13,$5 - $16,3.1128676,TRUE
14,FALSE,3.4873076,TRUE
15,FALSE,3.0441466,FALSE
16,75%,2.2932203,TRUE
17,Postgraduate Study,2.2594939,TRUE
18,TRUE,2.51064,TRUE
19,32%,1.7279495,TRUE
20,Others,2.5653014,TRUE
21,TRUE,2.136343,TRUE
22,250,3.8230891,FALSE
23,4.4-4.6,3.2779443,FALSE
24,TRUE,3.2736622,TRUE
25,FALSE,3.514217,TRUE
26,Cannot be inferred,3.1689921,TRUE
27,70.5 kg,3.4770582,TRUE
28,197.1 cm,2.0357967,TRUE
29,53.9 - 116.3 kg,2.6488101,TRUE
30,TRUE,3.238583,TRUE
31,TRUE,4.1262111,TRUE
32,FALSE,3.4763107,TRUE
33,FALSE,2.641526,TRUE
34,FALSE,3.6984187,TRUE
35,$5.10 ,2.4512156,FALSE
36,Feb-14,2.5788138,TRUE
37,$4.6 - $6.1,2.4932214,TRUE
38,rising then falling,2.823436,TRUE
39,9 months,4.1589938,FALSE
40,10100,3.4057984,TRUE
41,1 to 1,3.4385092,TRUE
42,2014,2.6394172,TRUE
43,"2,100 - 5,200",5.0394189,TRUE
44,rising,2.6056651,TRUE
45,TRUE,2.8223944,TRUE
46,FALSE,3.6673287,FALSE
47,330 km,1.9805876,TRUE
48,F,2.6271938,TRUE
49,190 - 540 km,2.4808617,TRUE
50,FALSE,2.957813,TRUE
51,G,5.2802753,TRUE
52,FALSE,5.4078517,TRUE
53,FALSE,4.0823998,TRUE
54,TRUE,3.8423126,TRUE
55,1.1% - 2.3%,3.1902813,TRUE
56,Alaska (AK),3.4964384,TRUE
57,FALSE,3.1114087,TRUE
58,30%,2.9465008,FALSE
59,Google,2.9882729,TRUE
60,FALSE,3.9008233,FALSE
61,TRUE,2.3330725,TRUE
